date,time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density,temperature_2m_mean,rain_sum,shortwave_radiation_sum,wind_speed_10m_max,NP_ratio,temp_oxygen_index,eutrophication_index,water_quality_index,nutrient_pollution_index,temp_ph_interaction,NH_TN_ratio,oxygen_saturation_index,nutrient_limitation,light_turbidity_index,rain_temp_interaction,wind_turbidity_index,radiation_temp_ratio,conductivity_rain_index,wind_oxygen_mixing,thermal_stratification_index,nutrient_runoff_potential,light_availability_index,weather_stress_index,pH_conductivity_stability,temp_turbidity_metabolism,oxygen_pH_balance,nutrient_temp_efficiency,radiation_nutrient_productivity,wind_mixing_efficiency,precipitation_nutrient_loading,thermal_oxygen_capacity,pH_oxygen_photosynthesis,conductivity_turbidity_clarity,wind_radiation_mixing,temp_conductivity_density,nutrient_redox_potential,light_penetration_depth,metabolic_activity_index,hydrodynamic_mixing_index,biogeochemical_cycling_index,ecological_stress_index,water_column_stability,algal_growth_potential,environmental_capacity_index
2021-01-01,20210101,宜兴,雨夹雪-晴,4,-4,60,2,西南风,2级,良,3.7,7.52,12.57,4.45,0.025,0.124,1.31,390.5,158.6,0.003,6722100.0,-0.2,0.0,12.9,9.5,10.48,46.509,1.9613333333333332,182.846,0.0031,27.824,0.01906941266209,0.94942134857991,0.124,0.006265664160401,0.0,1506.7,1.721958089574226,390.5,119.415,0.3854166666666667,0.0,0.0808270676691729,2.021276595744681,44.89429107604005,0.0445933089149022,3.398927999999994,1.7254152431431151,5.199196130172433,23.24404761904762,0.0,0.1187969348659003,0.1653960599999999,0.0155237774180519,26.074468085106385,0.5308475881059677,0.124645308924485,0.0148306546181968,2.1319578177384946,25.27867673498741,0.3746551926605504,1.7251794207755715,15.677625868055555,0.0046266029359112,0.0
2021-01-02,20210102,宜兴,多云-晴,7,-2,89,2,东南风,2级,良,3.7,7.48,12.63,3.85,0.025,0.093,1.3133333333333335,381.3,127.8,0.004,7647820.0,1.4,0.0,12.52,10.4,-4.752361807945244,46.731,0.981,167.75400000000002,0.002325,27.676,-0.0051486193997956,0.9539531927258764,0.00685,0.0077639751552795,0.0,1329.12,1.721958089574226,381.3,131.352,0.3523809523809524,-0.0,0.0972049689440993,2.2127659574468086,44.47761819245371,0.0552569262641179,2.909952000000005,-0.1844668999601157,3.8635669244883024,30.788198757763976,0.0,0.1222364635103322,0.154965048,0.0233441738133837,27.375273613014954,0.5326649096478339,-0.1479089387583078,0.0200422616379586,2.6351140595552205,27.85781510171578,-0.1280614250078258,1.3937933195303602,12.796462585034016,-0.0029340552468126,0.0
2021-01-03,20210103,宜兴,晴,9,4,93,2,东南风,3级,良,3.8,7.53,12.68,3.42,0.025,0.059,1.3166666666666667,415.8,79.7,0.003,8344820.0,3.8,0.0,10.39,11.0,-4.752361807945244,48.184,0.8263333333333334,158.879,0.001475,28.614,-0.0051486193997956,0.9602942250573652,0.00685,0.0123915737298636,0.0,876.7,1.721958089574226,415.8,139.48,0.3423423423423423,-0.0,0.1287484510532837,2.291666666666667,45.42552687300685,0.0917913717726742,3.5618120000000038,-0.1844668999601157,3.8635669244883024,56.67657992565056,0.0,0.1156046065259117,0.135697556,0.0654484668090645,23.81041666666667,0.540340200346217,-0.1479089387583078,0.0291286088355845,4.31318972895863,29.523944059895463,-0.1280614250078258,0.8708069928487941,12.823959094229364,-0.0024054502271788,0.0
2021-01-04,20210104,宜兴,阴-小雨,11,4,67,2,东风,2级,良,4.5,7.51,12.76,3.44,0.025,0.057,1.32,414.3,72.6,0.003,3967430.0,6.7,0.1,9.79,9.6,-4.752361807945244,57.42,0.8323333333333333,155.583,0.001425,33.795,-0.0051486193997956,0.984511641692832,0.00685,0.0135869565217391,0.0181818181818181,696.9599999999999,1.721958089574226,376.6363636363636,122.496,0.4639175257731959,-0.04715,0.133016304347826,1.7636363636363634,45.27779864128167,0.1297002927448151,3.3188759999999973,-0.1844668999601157,3.8635669244883024,54.03913043478261,0.17325,0.138261497712497,0.1261696039999999,0.0785885548659271,17.087999999999997,0.6402047607564236,-0.1479089387583078,0.0299586271053662,5.597406542056075,30.545146008626176,-0.1280614250078258,0.793769227237247,19.814539270910835,-0.0032187435910582,2.708889871738169
2021-01-05,20210105,宜兴,阴,8,0,77,2,东北风,3级,良,5.3,7.52,12.62,3.25,0.025,0.048,1.3233333333333335,414.8,61.6,0.003,2977290.0,5.3,0.8,3.88,16.4,-4.752361807945244,66.886,0.766,151.336,0.0012,39.856,-0.0051486193997956,0.9944272337062788,0.00685,0.0159744408945686,0.1269841269841269,1010.24,0.6158730158730159,230.44444444444449,206.968,0.3212121212121212,-0.3808,0.0619808306709265,2.7301587301587302,45.347136903187824,0.1949124009459204,3.4124479999999937,-0.1844668999601157,3.8635669244883024,108.66964856230032,1.31,0.1608609908609908,0.0499449119999999,0.1092855863166436,10.10031746031746,0.7538898895354541,-0.1479089387583078,0.0145837248637474,7.638310098709187,61.43624540571104,-0.1280614250078258,0.6835970428566612,8.075078053259872,-0.0009062024898094,38.30080962294701
2021-01-06,20210106,宜兴,阴-多云,3,-7,67,2,北风,2级,良,5.5,7.49,12.36,4.08,0.036,0.085,1.3266666666666667,411.3,96.2,0.003,5498750.0,2.7,0.0,5.94,17.1,-4.752361807945244,67.97999999999999,1.055,164.11700000000002,0.00306,41.195,-0.0051486193997956,0.979042618403677,0.00685,0.0102880658436214,0.0,1645.0200000000002,0.913846153846154,411.3,211.356,0.3197674418604651,-0.0,0.0611111111111111,2.630769230769231,45.10291678544928,0.132702091970313,2.9676360000000024,-0.1844668999601157,3.8635669244883024,72.35833333333335,0.0,0.1648799417899587,0.072684216,0.0444387300873864,15.626769230769233,0.7832803829468781,-0.1479089387583078,0.0120297462817147,5.027351895734597,66.6406858924396,-0.1280614250078258,1.0836023003702888,7.646531909140074,-0.0015784223449969,0.0
2021-01-07,20210107,宜兴,阴-多云,-3,-7,60,2,西北风,4级,良,5.1,7.48,12.22,3.84,0.138,0.114,1.33,424.5,97.4,0.003,4467670.0,-4.5,0.0,9.27,22.4,11.565217391304348,62.322,1.7613333333333332,168.554,0.0057691125,38.148,0.0639635820394342,0.95787489523186,0.114,0.0101626016260162,0.0,2181.76,1.519672131147541,424.5,264.836425,0.2266666666666666,0.0,0.0942073170731707,2.8512251491449594,45.27842181114045,0.1170469673419607,2.815488000000005,1.863426580540453,3.609590876816928,96.6341463414634,0.0,0.1464676850763807,0.111013812,0.0447418568766494,27.375273613014954,0.723069392343815,0.6081538692712253,0.0194643217093327,4.559551643192488,80.19656019656017,0.382809173553719,1.109100536509798,4.2764444444444445,0.0031131170262664,0.0
2021-01-08,20210108,宜兴,多云,0,-7,58,2,西北风,3级,良,2.8,7.62,12.7,6.71,0.6,0.203,3.05,522.9,175.0,0.011,9520900.0,-4.5,0.0,13.38,18.7,14.95098039215686,35.559999999999995,2.808929166666668,205.3371500000001,0.0057691125,21.336,0.0639635820394342,0.9362794630634182,0.13305,0.0056818181818181,0.0,2427.35875,1.721958089574226,522.9,237.49,0.1489361702127659,0.0,0.0760227272727272,2.8512251491449594,47.711112297276,0.026621000844266,4.8818800000000016,3.7418406676825593,9.332518736725785,55.55812499999999,0.0,0.067875548768849,0.19031712,0.0170737282047933,27.375273613014954,0.3856058393579481,0.7775326300511529,0.0098602759108595,1.483045262985058,34.38177161993565,0.5292740169014943,1.8838737677475357,4.142485287460389,0.0066900771804337,0.0
2021-01-09,20210109,宜兴,晴,4,-5,64,2,西风,2级,良,1.8,7.6,13.34,4.3,0.025,0.067,1.44,397.0,145.5,0.003,7876140.0,-0.9,0.0,13.33,14.5,21.176470588235293,24.012,1.9356666666666664,179.57999999999998,0.001675,13.68,0.0173490631505898,0.9570242134468958,0.067,0.0068259385665529,0.0,2109.75,1.721958089574226,397.0,193.43,0.1232876712328767,0.0,0.0909897610921501,2.8512251491449594,45.49703524016172,0.0164843236566537,4.802399999999994,1.648920645543752,4.140461939445888,39.29351535836177,0.0,0.0603316582914572,0.1956044199999999,0.0187518450729172,27.375273613014954,0.2576415036757584,0.1388619014573212,0.017167879451349,1.210153846153846,18.682891911238368,0.2428383396226414,1.4777972855677426,3.352411334209045,0.0010194610238907,0.0
2021-01-10,20210110,宜兴,多云,6,-3,86,2,西北风,2级,良,2.0,7.56,13.32,3.96,-1.0,0.092,1.59,408.5,125.6,0.003,6037370.0,0.5,0.0,12.41,9.1,17.096774193548388,26.64,1.8806666666666667,175.058,-0.0008877875,15.12,-0.0051486193997956,0.9608377946032408,0.092,0.0078988941548183,0.0,1142.9599999999998,1.721958089574226,408.5,121.212,0.2173913043478261,0.0,0.0980252764612954,2.8512251491449594,45.472922988896016,0.0223414464829872,4.177151999999994,1.8588974842032395,4.746399147564393,29.3629541864139,0.0,0.065054945054945,0.1752192719999999,0.0258931718089597,27.375273613014954,0.2851059143612697,-0.1479089387583078,0.019763160576874,1.5425735294117646,12.921547745828894,0.3928325806451613,1.2766734988957211,9.65264650283554,0.0028394331565858,0.0
2021-01-11,20210111,宜兴,小雨-晴,6,-3,87,2,西风,3级,良,2.2,7.59,13.39,3.55,0.025,0.068,1.49,408.0,98.1,0.003,4785600.0,1.6,0.0,12.59,19.5,21.594202898550723,29.458,1.7026666666666666,163.917,0.0017,16.698,0.016767270288397,0.9711790960381425,0.068,0.0100908173562058,0.0,1912.95,1.721958089574226,408.0,261.105,0.1122448979591836,0.0,0.1270433905146317,2.8512251491449594,45.64409803436487,0.0329276219406871,4.661058999999998,1.7391612337749216,4.007498058889112,80.28254288597377,0.0,0.0720244498777506,0.1837523089999999,0.042391328064202,27.375273613014954,0.3136711359178235,0.1324631120053655,0.02792162428893,2.17814145153434,30.468750000000007,0.2981702857142858,1.0004417982467793,2.3365264473136187,0.0013813892643548,0.0
2021-01-12,20210112,宜兴,晴,11,0,83,2,西南风,3级,良,2.5,7.57,13.32,3.79,0.025,0.07,1.33,382.9,108.4,0.003,5260760.0,4.2,0.0,13.55,18.8,18.73239436619718,33.3,1.7300000000000002,160.501,0.00175,18.925,0.0187828700225394,0.9740275031555632,0.07,0.0091407678244972,0.0,2037.92,1.721958089574226,382.9,250.41600000000005,0.1322751322751322,0.0,0.1238574040219378,2.8512251491449594,45.04439251219111,0.0361320573602419,4.3276680000000045,1.586407834293557,4.134415647948329,65.8,0.0,0.086741338890336,0.19312002,0.0325829081415573,27.375273613014954,0.3596924547901023,0.1426070623591285,0.0258574956204463,2.227060694407633,33.98655000361559,0.2588918580375783,1.112886334154498,2.6797961983147163,0.0014559500397023,0.0
